what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1494920750640
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1494920759656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1494920808835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494920812304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494920814054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494920822747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494920857404
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1494920858919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494920861169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494920868852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494920870039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494920887030
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1494920889639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494920962697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921117817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921124088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921134276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1494921214255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494921215489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921217474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921291754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494921312099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921314349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921350419
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1494921351013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921352966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921399023
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1494921404336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1494921418180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494921419633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921422107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921459781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1494921468718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494921527601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1494921579155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921579561
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1494921579593
error,log,,,"Unexpected runtime error while computing a text hover",1494921580608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921588656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921592656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921605161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494921607208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921623131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921674381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921696960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921806809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494921868426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921869770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921946868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494921997570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494921999054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494922062017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923488180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923488305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923488930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923489055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923489352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923489446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923489571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923489993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923490102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923492009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923492102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923492540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923492649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923493056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923493165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923493587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923493712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923494165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923494259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923494712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923494806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923495243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923495337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923495790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923495993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923496515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923498984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923499093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1494923551991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494923568320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494923578055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1494923599815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494923605753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494923613628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494923646248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494924174211
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1494924176602
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1494924178789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1494924193287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924218429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1494924223867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924232726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1494924239461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924251607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494924269405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1494924281015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494924282999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494924286546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494924400523
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1494924407148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924417477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924430107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924443342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924452092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494924462139
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494924466874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494924469062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494933401668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494933402762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494936721808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494936724448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494936726214
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494936727136
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1494936731527
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1494936731605
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1494936731667
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1495087744577
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1495087744577
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1495087744577
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1495087744593
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1495087744593
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1495087744593
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1495087744593
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1495087744593
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1495087744593
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1495087744593
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1495087744593
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1495087744593
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1495087744593
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1495087744624
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1495087744624
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1495087744624
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1495087744624
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1495087744624
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1495087744655
started,bundle,org.eclipse.emf.common,2.7.0.v20110605-0747,"org.eclipse.emf.common",1495087744655
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110606-0949,"org.eclipse.emf.common.ui",1495087744655
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1495087744749
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1495087744749
started,bundle,org.eclipse.emf.edit,2.7.0.v20110606-0949,"org.eclipse.emf.edit",1495087744749
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110606-0949,"org.eclipse.emf.edit.ui",1495087744749
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1495087744765
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1495087744765
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1495087744765
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1495087744765
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1495087744765
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1495087744765
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1495087744765
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1495087744765
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1495087744765
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1495087744765
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1495087744765
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1495087744765
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1495087744765
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1495087744765
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1495087744765
