what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1494909004127
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1494909004127
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1494909004127
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1494909004127
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1494909004127
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1494909004127
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1494909004127
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1494909004127
os,sysinfo,,,"win32",1494909004127
arch,sysinfo,,,"x86",1494909004127
ws,sysinfo,,,"win32",1494909004127
locale,sysinfo,,,"en_US",1494909004127
processors,sysinfo,,,"4",1494909004127
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1494909004127
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1494909004127
java.specification.name,sysinfo,,,"Java Platform API Specification",1494909004127
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1494909004127
java.specification.version,sysinfo,,,"1.6",1494909004127
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1494909004127
java.version,sysinfo,,,"1.6.0_11",1494909004127
java.vm.info,sysinfo,,,"mixed mode",1494909004127
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1494909004127
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1494909004127
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1494909004127
java.vm.specification.version,sysinfo,,,"1.0",1494909004127
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1494909004127
java.vm.version,sysinfo,,,"11.0-b16",1494909004127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494909021737
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1494909036957
started,bundle,org.eclipse.jst.j2ee.web,1.1.500.v201103021755,"org.eclipse.jst.j2ee.web",1494909036957
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1494909037160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494909037394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1494909037410
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1494909037832
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1494909038285
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1494909038394
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1494909038457
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1494909038879
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1494909038910
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1494909039691
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1494909040550
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1494909040644
started,bundle,org.eclipse.jst.jsp.core,1.2.400.v201105162116,"org.eclipse.jst.jsp.core",1494909041191
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1494909041394
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1494909041785
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1494909041926
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1494909042129
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1494909042254
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1494909042410
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1494909042582
started,bundle,org.eclipse.wst.html.core,1.1.500.v201104191551,"org.eclipse.wst.html.core",1494909044707
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1494909045848
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1494909045848
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1494909047770
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1494909052004
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1494909052098
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.502.v201105180500,"org.eclipse.jst.j2ee.ejb",1494909052785
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1494909053020
