what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1495087746359
java.version,sysinfo,,,"1.6.0_11",1495087746359
java.vm.info,sysinfo,,,"mixed mode",1495087746359
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1495087746359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1495087746359
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1495087746359
java.vm.specification.version,sysinfo,,,"1.0",1495087746359
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1495087746359
java.vm.version,sysinfo,,,"11.0-b16",1495087746359
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1495087757890
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1495087760406
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1495087760906
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1495087761047
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1495087761516
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1495087761516
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1495087763297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087768000
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1495087814978
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1495087814978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087819041
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1495087819634
opened,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1495087819853
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1495087819994
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1495087820900
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1495087825916
error,log,,,"Server Tomcat v7.0 Server at localhost was unable to start within 45 seconds. If the server requires more time, try increasing the timeout in the server editor.",1495087865572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087865900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087868587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087873697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087875635
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1495087875838
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1495087889820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087904899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087966027
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1495087971809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495087973512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495088139018
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1495088140315
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1495088165219
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1495088165328
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1495088182411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1495088182443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1495088186353
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1495088232158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1495088232549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1495088234705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1495088235909
